text,label
Everything feels same.,neutral
This makes me repugnant.,disgusted
That was really worn out!,sleepy
Everything feels giddy.,amused
That was really ordinary!,neutral
That was really bushed!,sleepy
Everything feels regular.,neutral
My mood is sleep.,sleepy
My mood is content.,amused
I can't stop feeling worn out.,sleepy
That was really loathsome!,disgusted
Everything feels aggressive.,angry
My mood is sleepless.,sleepy
That was really laughing!,amused
Everything feels repellent.,disgusted
Everything feels steady.,neutral
I feel very plain.,neutral
This makes me unchanged.,neutral
I feel very zonked.,sleepy
This makes me typical.,neutral
I feel very detestable.,disgusted
Today I am feeling delighted.,amused
My mood is eww.,disgusted
I'm so neither right now.,neutral
My mood is sluggish.,sleepy
Everything feels putrid.,disgusted
Today I am feeling wrathful.,angry
Today I am feeling sickened.,disgusted
I can't stop feeling balanced.,neutral
That was really typical!,neutral
This makes me humorous.,amused
I'm so joyful right now.,amused
Today I am feeling laughter.,amused
This makes me incensed.,angry
This makes me yawning.,sleepy
I'm so smiling right now.,amused
This makes me furious.,angry
I can't stop feeling despicable.,disgusted
My mood is light-hearted.,amused
I feel very fatigued.,sleepy
This makes me carefree.,amused
That was really weary!,sleepy
My mood is antagonistic.,angry
This makes me wrathful.,angry
I can't stop feeling fatigued.,sleepy
Today I am feeling carefree.,amused
I feel very bushed.,sleepy
That was really indignant!,angry
My mood is nap.,sleepy
This makes me weary.,sleepy
I can't stop feeling giggly.,amused
I feel very revolted.,disgusted
This makes me smiling.,amused
This makes me offensive.,disgusted
I feel very vile.,disgusted
That was really sleepless!,sleepy
That was really vexed!,angry
I feel very insomnia.,sleepy
I feel very meh.,neutral
I can't stop feeling balanced.,neutral
I feel very consistent.,neutral
This makes me distasteful.,disgusted
I can't stop feeling exasperated.,angry
My mood is hostile.,angry
I can't stop feeling furious.,angry
This makes me abominable.,disgusted
I can't stop feeling detestable.,disgusted
Everything feels laughter.,amused
My mood is joyful.,amused
I feel very disgusting.,disgusted
I can't stop feeling laughter.,amused
Today I am feeling usual.,neutral
Everything feels typical.,neutral
I'm so giddy right now.,amused
I can't stop feeling repulsed.,disgusted
I feel very funny.,amused
Everything feels livid.,angry
I can't stop feeling rest.,sleepy
Everything feels plain.,neutral
Today I am feeling entertaining.,amused
This makes me vexed.,angry
That was really worn out!,sleepy
This makes me despicable.,disgusted
I'm so ordinary right now.,neutral
Everything feels dead tired.,sleepy
This makes me upset.,angry
That was really standard!,neutral
I'm so foul right now.,disgusted
My mood is vexed.,angry
I can't stop feeling rage.,angry
I can't stop feeling chuckling.,amused
Today I am feeling funny.,amused
I can't stop feeling sickened.,disgusted
I can't stop feeling nauseated.,disgusted
I feel very upset.,angry
Everything feels exhausted.,sleepy
Today I am feeling ew.,disgusted
This makes me fine.,neutral
I feel very enraged.,angry
This makes me lethargic.,sleepy
My mood is same.,neutral
My mood is worn out.,sleepy
I can't stop feeling tired.,sleepy
My mood is sluggish.,sleepy
I feel very moderate.,neutral
I can't stop feeling angry.,angry
This makes me napping.,sleepy
Everything feels bitter.,angry
My mood is fatigued.,sleepy
That was really exasperated!,angry
Everything feels drained.,sleepy
Today I am feeling resentful.,angry
This makes me fair.,neutral
I can't stop feeling upset.,angry
I can't stop feeling carefree.,amused
I can't stop feeling cheerful.,amused
This makes me silly.,amused
That was really annoyed!,angry
I feel very bitter.,angry
This makes me beat.,sleepy
Everything feels disgusting.,disgusted
Everything feels aggressive.,angry
Today I am feeling consistent.,neutral
Today I am feeling witty.,amused
My mood is cross.,angry
Today I am feeling gross.,disgusted
Everything feels outraged.,angry
That was really enraged!,angry
I can't stop feeling napping.,sleepy
Today I am feeling furious.,angry
I can't stop feeling comic.,amused
This makes me contemptible.,disgusted
I feel very contemptible.,disgusted
This makes me sickened.,disgusted
This makes me napping.,sleepy
I can't stop feeling abominable.,disgusted
I'm so fun right now.,amused
Today I am feeling happy.,amused
My mood is pooped.,sleepy
I can't stop feeling furious.,angry
Today I am feeling okay.,neutral
Today I am feeling dead tired.,sleepy
That was really laugh!,amused
That was really sleep!,sleepy
This makes me angry.,angry
I'm so silly right now.,amused
My mood is zonked.,sleepy
Everything feels worn out.,sleepy
Everything feels tired.,sleepy
My mood is steady.,neutral
That was really insomnia!,sleepy
This makes me eww.,disgusted
Everything feels balanced.,neutral
My mood is typical.,neutral
I'm so annoyed right now.,angry
This makes me enjoying.,amused
I feel very despicable.,disgusted
This makes me eww.,disgusted
Everything feels fun.,amused
I'm so joke right now.,amused
I'm so neutral right now.,neutral
Everything feels joke.,amused
Everything feels standard.,neutral
My mood is knackered.,sleepy
My mood is livid.,angry
I'm so laughing right now.,amused
I feel very weary.,sleepy
This makes me despicable.,disgusted
Everything feels cheerful.,amused
Everything feels moderate.,neutral
That was really pleased!,amused
My mood is usual.,neutral
That was really yuck!,disgusted
I can't stop feeling same.,neutral
My mood is witty.,amused
Today I am feeling eww.,disgusted
I'm so zonked right now.,sleepy
Everything feels abhorrent.,disgusted
My mood is sluggish.,sleepy
I feel very nauseated.,disgusted
This makes me lethargic.,sleepy
Everything feels frustrated.,angry
I'm so regular right now.,neutral
My mood is drowsy.,sleepy
Today I am feeling yawning.,sleepy
Today I am feeling steady.,neutral
I can't stop feeling mad.,angry
This makes me frustrated.,angry
This makes me bitter.,angry
I can't stop feeling delighted.,amused
I feel very provoked.,angry
My mood is abhorrent.,disgusted
Everything feels dozing.,sleepy
I feel very dead tired.,sleepy
Everything feels unremarkable.,neutral
My mood is content.,amused
I can't stop feeling disgusted.,disgusted
That was really hostile!,angry
Everything feels unremarkable.,neutral
Today I am feeling okay.,neutral
Everything feels indignant.,angry
Today I am feeling upset.,angry
This makes me enraged.,angry
I feel very abhorrent.,disgusted
Today I am feeling entertaining.,amused
Everything feels fair.,neutral
My mood is contemptible.,disgusted
Today I am feeling fair.,neutral
Today I am feeling infuriated.,angry
This makes me beat.,sleepy
I can't stop feeling same.,neutral
Everything feels resentful.,angry
That was really revolting!,disgusted
